,source,target,edge,sentence
755,rate,16 million 16 1990s,suggests,"UN data suggests the rate of deforestation between 2015 and 2020 was an estimated 10 million hectares per year, down from 16 million hectares per year in the 1990s."
756,global  implementation,national  governments,rests with national,"While the issue of deforestation is taken very seriously at a global level, the implementation of strategies and policies to reduce deforestation ultimately rests with national governments."
757,track record,level,is,"At this level, the track record is much more patchy."
758,Brazil,steadily deforestation 2004,seemed,"For example, Brazil - for a succession of governments - seemed to be heeding international advice and deforestation rates had been falling steadily since 2004."
759,However  scientists,12 Amazon deforestation decade,listed,"However, scientists writing in Nature journal last year listed the Brazilian Amazon deforestation rate for the previous 12 months as the highest in a decade."
760,Jair Bolsonaro,2019,said,Campaigners said the deforestation rate had accelerated since Jair Bolsonaro became Brazil's president in 2019.
761,Mr policy,Amazon rainforest,said,They said Mr Bolsonaro's policy of favouring agriculture and mining within the Amazon rainforest was to blame.
762,international  efforts,national  governments,illustrates,It illustrates that international efforts to protect these valuable habitats are meaningless unless there is support from national governments.
763,recent  trees,trodden climate change,become,"In recent years, trees have become a well-trodden solution for policymakers grappling with the threat posed by climate change."
764,ability,political  arena,is,The ability of trees to sequester carbon is a very popular topic within the political arena.
765,They,global carbon atmosphere,are,"They are a well-known facet of the global carbon cycle, removing millions of tonnes of CO2 from the atmosphere each year."
766,that,based climate planet,billed as,"Therefore, policies that promote and encourage the planting of hundreds of thousands of trees are billed as a vital part of the shift to sustainability, and a key part of the solutions-based approach to tackling the climate crisis facing the planet."
767,,potential  hurdles,are,"However, there are a number of potential hurdles or limitations."
768,enough  they,it,be sure,"Firstly, can we be sure that we are planting more trees than we are losing?Are the new saplings being offered enough protection to ensure they make it to being mature specimens?"
769,it,21 CO2 kg,is,"It is only once that a tree reaches maturity so that it can fully absorb CO2 - on average, about 21kg each year."
770,species,carbon,planted,What species are being planted to sequester carbon?
771,they,,Are,Are they fast-growing or slow-growing?
772,long  they,,live,How long do they live?
773,when  they,,happens,What happens when they die?
774,urban tree planting schemes,development,used for,"Will the timber be used for materials and construction or will it be left to rot, releasing the carbon it had locked away from the atmosphere?It has also been identified in a number of studies in urban areas that tree planting schemes are struggling to keep up with the number of trees felled in the name of development."
775,meaningful  it,many  maturity,take many,"Secondly, as only mature trees can make a meaningful contribution to sequestering carbon, it will take many decades for a sapling to reach maturity."
776,we,meaningful  time,making,"Therefore, the trees we are planting today will only be making a meaningful difference to the volume of CO2 in our atmosphere in half a century's time."
777,best  time,tree,suggests,A famous Chinese saying suggests that the best time to plant a tree is 20 years ago.
778,best  time,,is,"However, it adds, the second best time is today - so there is still hope."
779,,popular saying states,As,As another popular saying states: better late than never.
780,that planet Earth,warming world,reveal,"In our monthly feature, Then and Now, we reveal some of the ways that planet Earth has been changing against the backdrop of a warming world."
781,Air pollution,seven million seven victims,been,"Air pollution has long been one of the biggest killers, claiming an estimated seven million victims annually."
782,Air pollution,environmental  damage,been,"However, the Covid-19 global pandemic showed how quickly we could clear the air once we cut the number of journeys we made... Air pollution has long been one of the most severe forms of environmental damage."
783,air pollution,seven million seven people,estimate,Figures from the World Health Organization (WHO) estimate that air pollution kills seven million people worldwide every year.
784,WHO,high  pollutants,shows,Its data also shows that 9 out of 10 people breathe air that exceeds WHO guideline limits on high levels of pollutants.
785,change girl,human CO2 activities,call,Law-change call after girl dies from air pollutionHow air pollution exacerbates Covid-19Lockdown prompts clear fall in UK air pollutionEmissions from fuel combustion account for almost a quarter of CO2 emissions from human activities.
786,So  impact,Covid-19 pandemic,stark,So the impact of lockdowns on transport around the globe in the Covid-19 pandemic has been stark.
787,average International Energy activity,50  2019,fell by,"According to the International Energy Agency, average activity on the world's roads fell by almost 50% compared with 2019."
788,improvement,air quality,was clear,The improvement in air quality was clear to see.
789,urban  areas,internal combustion engines,recording massive,"In a short space of time, urban areas were recording massive reductions in a range of pollutants associated with internal combustion engines."
790,Data,10 particulate cities,across,Data collected by the UK's National Centre for Atmospheric Science shows marked reductions in nitrogen dioxide (NO2) and in particulate matter (PM2.5) across 10 cities.
791,90  %,road lockdown,took to social,"In India, people took to social media to post images of clear skies after an estimated 90% of road journeys stopped during the lockdown."
792,concrete  action,fossil  fuels,told,"Speaking in April, Sunil Dahiya from the Centre for Research on Energy and Clean Air told BBC News: ""The current crisis has shown us that clear skies and breathable air can be achieved very fast if concrete action is taken to reduce burning of fossil fuels."
793,fast  lockdowns,normal,appears,"""However, as quickly as air quality improved during lockdowns, so it appears to have returned to normal just as fast once lockdowns were eased or lifted."
794,global  response,atmospheric Covid-19 CO2,said,The World Meteorological Organization (WMO) said the global response to the Covid-19 crisis has had little impact on the continued rise in atmospheric concentrations of CO2.
795,dramatically  lockdowns,cut transport,fall,Carbon emissions did fall dramatically as lockdowns cut transport and industry sharply.
796,it,overall  concentrations,showed,But data from the WMO showed that it had only marginally slowed the overall rise in concentrations.
797,details,annual greenhouse gas bulletin,published in,The details were published in the WMO's annual greenhouse gas bulletin.
798,environmental  benefits,lockdowns,were widespread,"During the lockdowns, there were widespread calls for the environmental benefits to be maintained."
799,pandemic,low  emission,said,"Proponents said it was essential that economic growth after the pandemic focused on following a low emission, sustainable path."
800,priority,regardless  cost,seems,"Despite calls to build back greener, it seems as if the priority has been business as usual, regardless of cost."
801,up UN climate which,November,continue,"Our Planet Then and Now will continue each month up to the UN climate summit in Glasgow, which is scheduled to start in November 2021"
802,that planet Earth,warming world,reveal,"In our monthly feature, Then and Now, we reveal some of the ways that planet Earth has been changing against the backdrop of a warming world."
803,crucial  that,northern  California,look at,"Here, we look at the effects of extreme weather on a crucial reservoir that supplies water to millions of people in northern California."
804,year,critically  California,is likely,This year is likely to be critically dry for California.
805,that,enough drought conditions,expected,Winter storms that dumped heavy snow and rain across the state are not expected to be substantial enough to counterbalance drought conditions.
806,Lake Oroville,complex water delivery system,plays,Lake Oroville plays a key role in California's complex water delivery system.
807,square  body,largest  California,is,This 65km-square body of water north of Sacramento is the second-largest reservoir in California.
808,store water Oroville store it,elsewhere fisheries downstream,helps,"Not only does Lake Oroville store water, it helps control flooding elsewhere in the region, assists with the maintenance of water quality and boosts the health of fisheries downstream."
809,80  %,extreme  drought,was in,"In 2014, more than 80% of California was in the grip of an ""extreme drought""."
810,capacity,30  %,fell to,"Against this backdrop, Oroville's capacity fell to 30% - a historic low level."
811,normal  ramps,longer  edge,reached,"As the water level receded to hundreds of feet below normal levels, ramps and roads no longer reached the water's edge."
812,,agricultural hydroelectricity land,worryingly,"More worryingly, the reservoir - when full - provided enough water for an estimated seven million households, as well as providing power for hydroelectricity facilities and irrigation for agricultural land."
813,dry  conditions,low  level,been,"The dry conditions didn't start in 2014, however, there had been a drought for years prior to Oroville recording its historic low level."
814,multi year drought,wider  region,warned,"Indeed, the US space agency's Earth Observatory had warned that the multi-year drought was having a wider impact on the region."
815,contribution,agricultural fire land,was,"Among its effects was a contribution to ""unusually active and destructive"" fire seasons and poor yields from agricultural land."
816,current Benjamin Cook,New York,observed,"""There is strong evidence from climate models and centuries of tree ring data that suggest about one-third to one-half of the severity of the current drought can be attributed to climate change,"" observed Benjamin Cook, a climate scientist from Nasa's Goddard Institute for Space Studies in New York."
817,already  it,decades,added,"Agency scientists added that the data suggested a ""megadrought"" might already be underway in this region - and that it could last for decades."
818,extreme  Nevada,extreme  drought,showed,"The latest update from the US Drought Monitor in December 2020, showed that much of the country's western states were gripped by extreme or exceptional drought, with Nevada, Utah, Arizona and New Mexico, Colorado and western Texas being the worst affected."
819,Drought Monitor,prolonged water supply,releases,The Drought Monitor releases maps showing the parts of the country with prolonged shortages in the water supply.
820,It,University US Agriculture,produced,"It is produced jointly by the National Drought Mitigation Center (NDMC) at the University of Nebraska-Lincoln, the National Oceanic and Atmospheric Administration (Noaa), and the US Department of Agriculture (USDA)."
821,also  planet,environmental  conditions,means,"Climate change is not just about a warmer world, it also means that the planet will see more extreme environmental conditions and weather."
822,So  episodes,well  droughts,increase,"So, for example, episodes of flooding will increase, as well as episodes of droughts."
823,how  extremes,existing  infrastructure,was,Lake Oroville was a perfect illustration of how these extremes can threaten our existing infrastructure.
824,vast embankment dam,breaking  February,pushed to,"While the lake's levels reached a historic low in 2014, the reservoir's vast embankment dam - the tallest in the US - was pushed to breaking point in February 2017."
825,surrounding  water,Olympic size swimming pools,flowing into,"Following fierce storms in the surrounding mountains, water was flowing into the lake at a rate of roughly one-and-a-half Olympic-size swimming pools each second."
826,"100,000  people",homes,evacuated,"Communities downstream had been evacuated, with more than 100,000 people being ordered to leave their homes."
827,controlled emergency spillway,controlled  water,struggling,Officials were struggling to allow water to flow out of the lake because the main spillway - a structure that provides controlled releases of water - and the emergency spillway had been eroded and damaged.
828,reservoir,catastrophic  structure,had,"Yet they had to continue sending water down the valley because the reservoir was reaching capacity and there was a sense that there could be a ""catastrophic failure"" in the structure."
829,unprecedented  that,unprecedented  capacity,went from,"In the space of two years, the lake went from an unprecedented low to a capacity that had not been experienced before."
830,emergency which,emergency spillways,cascaded over,"Water cascaded over the emergency spillways, which had not previously been required."
831,surrounding river systems,reservoir,replenished by,"Traditionally, the lake was replenished by meltwater from a thawing snowpack in surrounding mountains, whose river systems fed the reservoir."
832,when  reservoir,maximum  level,was,June was the month when the reservoir was expected to reach its yearly maximum level.
833,that,intense water flow,was,"However, in 2017, it was rain that caused the intense water flow."
834,reservoir,rather  year,reached,"The reservoir had reached capacity in February, rather than the middle of the year, as usually happened."
835,again  event,warming world,suggested,Scientists again suggested that the event fitted into the paradigm of a warming world.
836,winter which,rain,explained,"Speaking at the time to the Guardian newspaper, Prof Roger Bale, from the University of California Merced, explained: ""With a warmer climate, we get these winter storms, which dump rain rather than snow."
837,frequency,industrial weather levels,said,"""The United Nations Environment Programme (Unep) said that the ""frequency and intensity of droughts, storms and extreme weather events are increasingly likely above 1.5C (above pre-industrial levels)""."
838,2015 Paris climate more,breaking flood point,is likely,"Failure to keep the global average temperature rise to below 1.5C, as outlined in the 2015 Paris climate agreement, is likely to result in more of the world's reservoirs or flood defences being tested to breaking point."
839,stark world who,annual climate Glasgow,is,"This is a stark warning for world leaders, who will be gathering once again this year at the UN's annual climate summit (COP26) - to be held in Glasgow."
840,which,global 1.5C limit,seek,"The meeting, which had to be postponed by a year because of Covid, will seek to raise global ambition on tackling climate change - with a view to keeping temperature rise within the 1.5C limit."
841,Now UN climate which,November,continue up,"Our Planet Then and Now will continue up to the UN climate summit in Glasgow, which is due to start in November 2021"
842,that planet Earth,warming world,reveal,"In our monthly feature, Then and Now, we reveal some of the ways that planet Earth has been changing against the backdrop of a warming world."
843,how Saharan Africa,climate crisis,look at,"Here, we look at the effects of global heating on Victoria Falls, one of the natural wonders of the world - and how Sub-Saharan Africa is learning to cope with the climate crisis."
844,full Victoria Falls,natural  world,qualifies as,"In full flow, Victoria Falls easily qualifies as one of the natural wonders of the world."
845,100  locals,greatest  smoke,refer to,"Spanning 1.7km at its widest point and with a height of more than 100m, locals refer to Africa's greatest waterfall as ""the smoke that thunders""."
846,amazing  feature,Zambezi river chasm,formed as,This amazing feature is formed as the Zambezi river plunges into a chasm called the First Gorge.
847,volcanic fracture that,southern  Africa,carved by,The chasm was carved by the action of water along a natural fracture zone in the volcanic rock that makes up the landscape in this region of southern Africa.
848,however Victoria Falls,2019,silenced,"In 2019, however, Victoria Falls was silenced."
849,relative  Falls,relative  trickle,reduced to,"In a drought described as the worst in a century, the flow of the Zambezi was reduced to a relative trickle and the Falls ran dry."
850,biggest Victoria Falls,valuable  Zimbabwe,is,"As one of the region's biggest attractions for tourists, Victoria Falls is a valuable source of income for Zimbabwe and Zambia."
851,local  traders,visible tourist numbers,noticed,"As news of the low waters spread, local traders noticed a visible drop in tourist numbers."
852,also electricity which,hydroelectric  generation,hit,"As well as hitting the countries' economies, it also hit electricity supplies, which are dependent on hydroelectric generation."
853,food crops,drought,reported,"More widely across the region, agencies reported an increase in the need for food aid, as crops failed in the drought."
854,extreme weather event,climate change,viewed as,"A single extreme weather event cannot, in isolation, be viewed as a consequence of climate change."
855,climate modellers,human greenhouse activity,recording,But the region is recording a sequence of extreme droughts that reflect what climate modellers have predicted will occur as a result of an increase in greenhouse gases in the world's atmosphere as a result of human activity.
856,stark climate change,environment,President,"Zambia's President, Edgar Lungu - speaking at the time - called it ""a stark reminder of what climate change is doing to our environment""."
857,changing Zambezi climate,intense monsoon events,believe,"Observers of weather patterns in the Zambezi Basin believe the changing climate is resulting in a delay to the monsoon season, concentrating the rains into bigger, more intense events."
858,more  impact,more  people,makes,"This makes the storage of the water in the region more difficult, and makes the impact of the extended dry season more damaging to people and the environment."
859,population,coming  century,painted,The UN's State of the Climate in Africa in 2019 report painted a worrying picture for a continent that could see its population double over the coming century.
860,Climate change,hardest water resources,observed,"Speaking at the report's launch in October 2020, World Meteorological Organization secretary-general Petteri Taalas observed: ""Climate change is having a growing impact on the African continent, hitting the most vulnerable hardest, and contributing to food insecurity, population displacement and stress on water resources."
861,recent  we,looming La Niña event,seen devastating,"""In recent months, we have seen devastating floods, an invasion of desert locusts and now face the looming spectre of drought because of a La Niña event."
862,2019,warmest  continent,adds,"""The report adds that 2019 was among the three warmest years on record for the continent."
863,warming trend,,warns,It warns that the warming trend is expected to continue.
864,hardest climate capacity,warming world,is,"The worrying fact facing politicians, policymakers and civil society is that the continent is set to be hardest hit by climate change, yet the continent's capacity to adapt to the realities of a warming world are low."
865,Areas,water supplies,include,"Areas of concern include water supplies, health, food security, droughts and floods, biodiversity."
866,that,concerns,is,It is a list of concerns that is continuing to grow.
867,Africa,dangerous climate change,is on,Africa is on the front line of the battle against dangerous climate change.
868,up UN climate which,November,continue,"Our Planet Then and Now will continue each month up to the UN climate summit in Glasgow, which is scheduled to start in November 2021"
869,elderly climate they,historic  judgement,won,"When eight teenagers and an elderly nun in Australia teamed up for a climate case, they won, in a historic judgement."
870,case,now  government,appealed by,Their case has now been appealed by the country's government.
871,final verdict it,Australian climate cases,have,"If the final verdict swings in their favour, it will have ramifications not just for Australian law but for climate cases world-wide."
872,live climate she,centre,sitting in,"In May this year, Anjali Sharma was sitting in her economics class at school in Melbourne when the court in Sydney live-streamed the results of a climate case she had found herself at the centre of."
873,It,while,took,It took a while to sink in.
874,it,just  jargon,sounded like,"""To me it all just sounded like jargon."
875,she,legal  magnitude,says,"It took a briefing from my legal team to understand the magnitude of what had happened,"" she says."
876,old Ms Sharma,other  history,made,At that moment 17-year-old Ms Sharma and the seven other teenagers involved in her case had made history.
877,legal  they,Sussan court,taken,"Alongside 87-year-old Catholic nun Brigid Arthur, who acted as the young people's legal guardian, they'd taken Australia's environment minister, Sussan Ley, to court - and won."
878,too Ms Sharma,historic  Australia,says,"""It felt really rewarding to be able to engage in something so historic for Australia, and needed too,"" says Ms Sharma."
879,New South which,170 million fossil fuel atmosphere,attempted,"Their case attempted to stop the expansion of the Vickery coal mine in New South Wales, which is estimated to add an extra 170 million tonnes of fossil fuel emissions to the atmosphere."
880,Mordy government,future climate change,ruled,"The judge in their case, Mordy Bromberg, ruled that the government had a duty to protect young people against future harm related to climate change."
881,first  duty,kind,'s,It's the first time in the world that a duty of care of this kind has been recognised.
882,Justice Bromberg,however  mine,grant,"Justice Bromberg did not, however, grant them an injunction to prevent the expansion of the mine."
883,actually  injunction,actually  extension,have,"In his view, the court didn't have any evidence that Sussan Ley would actually approve the extension, and any injunction would be pre-emptive."
884,Ms Ley,Vickery coal mine,approved,"Yet in September Ms Ley approved the extension of the Vickery coal mine, as well as three others since then."
885,also Sharma outcome,which,is due,The government is also appealing the decision in the Sharma case - the outcome of which is due soon.
886,one substitution lawyer,Sharma case,says,"The government used a ""substitution argument"" as one reason to approve Vickery, says the lawyer representing the Sharma case, David Barnden."
887,effectively  market,demand,'s,"""It's the argument that if this particular coal project didn't go ahead, it wouldn't make a difference to the total amount of emissions because effectively the market would fulfill that demand."
888,then  somebody,drugs,'s,That's otherwise known as the drug dealer's defence - it's the idea that 'If I don't deal drugs then somebody else will.
889,Sister Brigid Arthur,case,are,"'""For Sister Brigid Arthur, the minister's decisions since the success of their case are ""quite provocative""."
890,Sister Arthur,young  people,spent,Sister Arthur has spent a lifetime working with young people.
891,instructing  who,mostly  refugees,acting as,For over two decades she has been acting as a litigation guardian - instructing lawyers on behalf of those who can't represent themselves - in cases mostly involving refugees.
892,she,that,was,Before that she was a secondary school teacher.
893,This,,is,This is her first environmental case.
894,young  that,young  way,'s,"""It's engaged young people in a way that seems quite extraordinary."
895,new  she,certainly  me,says,"It's certainly for me something new,"" she says."
896,ago  who,litigation guardian,approached by,She was approached by lawyers just over a year ago who asked her to act as the teenagers' litigation guardian.
897,She,much  convincing,take much,She didn't take much convincing.
898,they,what,'m,"""I'm pretty passionate about climate change and while I don't work directly in this area, I'm very conscious of the fact that it's important for people to do what they can."
899,so  they,people,have,"""Young people are the ones who will inherit whatever we're doing now, so they have every right to be calling people to account."
900,herself,attacks,made,"""In speaking out, Ms Sharma has made herself a target for attacks."
901,she,threats,says,"""I've been messaged a lot of threats,"" she says."
902,I,quickly  comments,learned,"""Some of the big news sources in Australia have, I guess, quite a right-wing following, so when news sources like that have covered my story I learned really quickly not to read the comments."
903,powerful News Corp they,climate scepticism,argued,"""A 2019 report which investigated four publications owned by Australia's most powerful media company, News Corp Australia, argued that they promoted climate scepticism."
904,45  %,scientific  findings,rejected,"Of over 8,000 articles analysed, 45% of all items either rejected or cast doubt upon consensus scientific findings."
905,old  report,political activist journalism,said,"In response, a News Corp Australia spokesman said the year-old report was ""imbalanced"" and coming from ""a political activist group with a history of bias against our company's journalism""."
906,News Corp Australia,zero climate 2050,viewed as,News Corp Australia recently has been viewed as softening its hostility towards climate action by advocating for net zero emissions by 2050.
907,before  videos,social climate sceptics,recycled,"Despite this, shortly before and during COP26, videos from News Corp-owned Sky News Australia were recycled and found traction on social media amongst climate sceptics."
908,host,"45,000 CO2 likes",shared by,"One Sky News Australia segment in which the host condemns youth climate activists as ""selfish, badly educated, virtue-signalling little turds"" was shared by the head of the advocacy group the CO2 coalition and received over 45,000 likes and 16,000 retweets."
909,growing climate tactic,often  hypocrisy,is,"As the science of climate change has become harder to argue with, a growing and common tactic is often to shoot the messenger instead - often accusing them of hypocrisy."
910,Ms Sharma,jeans,says,"""Comments like 'Oh, she's wearing jeans and I bet she doesn't know how much water goes into producing a pair of jeans,'"" says Ms Sharma."
911,they,,'re right,"""And you know, they're right."
912,I,jeans,own,I do own a pair of jeans.
913,owning,2030,going,But me not owning that pair of jeans is not going to cut Australia's emissions in half by 2030.
914,climate she,passion,struck by,"""When Sister Brigid first met the teenagers, who knew each other through attending climate protests, she was struck by their passion."
915,they,really  this,describes,"She describes them as a group of young people ""who really believe in this, who feel like they can't stop""."
916,young  she,young  people,says,"""There are very few greys with young people,"" she says."
917,Everything,,is,"""Everything is so black and white."
918,they,appeal,wait for,"""But for now, all they can do is wait for the result of the appeal to be announced."
919,when  it,practice,are different,"Despite widespread recognition of the need to move away from coal, there are different approaches when it comes to putting that knowledge into practice."
920,delegates,last minute phase,became,"At the COP26 summit in Glasgow, coal became a point of contention after delegates from China and India requested a last-minute change to the agreement, switching the phrase ""phase out"" coal with ""phase down""."
921,results,other  world,be,The results of the appeal and their case could be game-changing - not only for Australia but for other parts of the world too.
922,success,more fossil fuel kind,signal,A success in their case could signal an erosion in support for fossil fuel burning and extraction with more lawsuits of this kind ahead.
923,courts,effectively climate field,see,"But if the minister's appeal is successful, it could see courts effectively vacate the climate field."
924,Australia,largest  coal,is,Australia is the world's second-largest exporter of coal.
925,coal industry,decades,said,"Following the Glasgow summit, Australian Prime Minister Scott Morrison said the coal industry will be operating in the country for ""decades to come""."
926,plan,rural  Australians,added,He added that the plan to achieve net zero by 2050 will not come at the cost of rural and regional Australians.
927,world,collective climate change,grappling with,"""The world is grappling with this collective action problem of climate change."
928,Mr Barnden,part,says,"Every mine has its part to play and every decision counts,"" says Mr Barnden."
929,tipping  which,further climate change,was,"""What the court found was that the emissions from this particular extension project could be the emissions that tip us over the edge to these nonlinear tipping points which would further accelerate climate change."
930,duty,legal appeal process,hopes,"""He hopes that the duty of care ruling - if maintained through the appeal process - can influence other jurisdictions and give hope to young people to be able to participate in the legal process."
931,legal climate principles,common New Zealand,'s,"""It's a very foundational legal case to approach the problems caused by climate change, and the principles of negligence exist in a whole range of common law countries, from the UK, to New Zealand, Canada and the US as well."
932,soon  case,climate inaction,'s,"""It's too soon to tell whether this case will provide a turning point on climate inaction."
933,other Ms time,action,is,"But for Ms Sharma and the other teenagers involved in her case, the time for action is now."
934,case,that,hope,"""I really hope the federal court realises that Australia is now running behind the rest of the world, and that the duty of care that my case seeks to establish is really, really needed right now."""
935,Wikipedia,long climate change denial,plagued by,Wikipedia has for so long been plagued by climate change denial.
936,group,tirelessly  bay,working,But a group of dedicated volunteers around the world is working tirelessly to keep the deniers at bay.
937,just  he,room,lives in northern,"David Tetta lives in northern California, in the kind of close-knit community where neighbours just wander into each other's homes - during our interview, he breaks off for a second to shoo one of them out of the room."
938,David,first  Wikipedia,was,It was while chatting to his neighbours that David first thought of volunteering to edit Wikipedia.
939,climate change,often  topic,coming,"In 2019, around the time wildfires were raging across the state, climate change was coming up more and more often as a topic."
940,he,environment,says,"""Many conversations seemed to evolve into people expressing their feelings of angst and fear about the environment,"" he says."
941,people,information,wondering,"""I was wondering, what kind of information are people getting?"
942,David,30 Environmental Protection years,was,"""David was well-placed to study the subject, having worked for the US Environmental Protection Agency for more than 30 years."
943,certain  that,certain  it,found,"He looked at the most obvious starting point for climate change information, Wikipedia - and, as he diplomatically puts it, he found ""certain areas of it that could be improved""."
944,He,other  volunteers,started small,He started small by proposing edits and discussing them with other volunteers.
945,soon  himself,Wikipedia editing,found,But he soon found himself pouring hundreds of hours into Wikipedia editing.
946,scientific  he,scientific  sentence,says,"""You have to read through about 100 pages of scientific information to edit a sentence,"" he says."
947,month page magnitude,David,gets more,"English Wikipedia alone gets more than nine billion page views a month, and the magnitude of that figure is not lost on David."
948,it,certain  responsibility,gives,"""It gives you a certain sense of responsibility for making sure you're getting it right."
949,anyone,internet it,is,"""The point of Wikipedia is that anyone with an internet connection can edit it."
950,who,climate it,makes,"But that also makes it vulnerable to manipulation, and those who deny the climate crisis know it."
951,across editing subtlety,editing views,waging,"They've been waging an editing war to get their views across, and subtlety is not always their forte."
952,one  someone,Communist climate organisation,added,"On one occasion, someone added a sentence wrongly suggesting climate scientists worldwide are in the pocket of a secretive Communist organisation."
953,less  you,word,peppered,"Another user peppered paragraphs with the word ""alleged"", wrongly suggesting that basic climate science is far less settled than you might think."
954,entire  text,climate hyperlink,turned into,"And, in a rather mischievous twist, one time the entire text of an article on climate change was turned into a hyperlink."
955,Users,immediately  hoaxes,taken to,Users clicking on any of it would immediately be taken to an article about hoaxes.
956,kinds,stunts,last,"Those kinds of stunts don't last long, though."
957,so  David,few  minutes,says,"""That might stay up for a few minutes or an hour or so,"" David says."
958,usually  one,it,spot,"""But usually, one of the editors will spot it."
959,it,English Wikipedia,is,"""David is part of a small but dedicated group of volunteers who have made it their mission to curate and protect articles about climate change on English Wikipedia."
960,they,fight,'re,And they're not afraid to pick a fight.
961,David,consequences,says,"""I'll send [the deniers] a note on their personal page on Wikipedia saying, 'This is vandalism, this could have consequences,'"" says David."
962,Sometimes  people,Wikipedia,kicked off,"""Sometimes these people get kicked off Wikipedia."
963,which,different  languages,grown into,"""Wikipedia, which was launched in 2001, has grown into one of the world's most popular websites, and is published in more than 300 different languages."
964,where  you,reliable climate change,is,"English Wikipedia is the largest version - and, according to the editors interviewed for this piece, the one where you can find the most reliable coverage of climate change."
965,Dutch volunteer Femke Nijsse,large editor base,says Dutch,"""We are lucky with a large editor base,"" says Dutch volunteer Femke Nijsse."
966,She,small climate change,come,She's come to be regarded as one of the most influential voices within the small community of Wikipedia editors specialising in climate change.
967,who,article,'s,"If you have ever visited the main Wikipedia article on climate change, chances are that you read some of Femke's words - she's the user who's contributed the most to that article by far."
968,quite  she,quite  Wikipedia,says,"""I'm quite proud of my work on Wikipedia,"" she says."
969,she,while,is,"Femke is a postdoctoral research fellow at the University of Exeter, studying the transition to green energy - so global warming is something she's been thinking about for a while."
970,junk science,what,editing,She's been editing Wikipedia articles for seven years and in that time she's got to know what junk science looks like.
971,emotive  she,emotive  words,says,"""Editors recognise all of the common climate denial myths, and most editors have a good feeling for misinformation red flags, including use of unreliable sources, of emotive words,"" she says."
972,satisfying  editing,misinformation,is,"""The most satisfying editing for me is the removal of misinformation."
973,Femke,bad  rules,is clinical,"""Femke is clinical in her debunking of bad science, and a stickler for Wikipedia's rules."
974,wrongly climate change stopping,global  warming,tried,"In October, a user tried to add a sentence to the climate change article, wrongly suggesting that stopping the world from using fossil fuels would make no difference to global warming."
975,statement,reliable  sources,dismissed,"Femke dismissed the edit, but not before explaining that such a statement would have to be backed by reliable sources."
976,quality which,unscientific  content,have,"Wikipedia doesn't have a policy vetoing climate change denial, but there are policies that insist you have to cite quality sources, which tends to weed unscientific content out."
977,Laine Brodsky,tech profession,says,"""Wikipedia is just an uncomfortable place to be if you want to promote a point of view that goes against science,"" says volunteer editor Su-Laine Brodsky, a tech writer by profession."
978,you,really  it,'s,"""It's much easier to be on social media, where you can say whatever you want, and not really be held to task for it."
979,Su Laine,15 Wikipedia years,editing,"""From her home in Canada, Su-Laine has been editing Wikipedia pages for 15 years."
980,She,medical sea otters,started,She started out by sharing medical information and moved on to writing about sea otters and killer whales.
981,She,recently climate pages,decided,She only recently decided to focus on climate pages.
982,of climate she,of climate change,says,"""I've always been interested in the environment and wildlife, and was kind of intimidated by the idea of working on climate change,"" she says."
983,I,very climate topic,thought of,"""I thought of climate change as a very technical and very controversial topic."
984,sustainable  that,problems,stumbled across,"""But one day she stumbled across an article on sustainable energy that was riddled with problems."
985,people promotion who,pet  project,had,"""It had a lot of self-promotion - companies promoting themselves, people who are doing some kind of research promoting their pet project."
986,Su Laine,it,stuck,"""Su-Laine got stuck in and started getting rid of it."
987,she,things,says,"""Wikipedians are people who fix things,"" she says."
988,this,enough  confidence,notice,"""You notice something that's wrong, and you just need to have enough confidence to say, 'I can make this suck a bit less."
989,Sometimes  errors,,are obvious,"'""Sometimes the errors are obvious."
990,users,trafficked subtler articles,take,"But it didn't take long for Su-Laine to realise some users were twisting the facts in subtler ways, especially in less-trafficked articles."
991,climate science people,that,try,"""When you've got an article about a climate science denier, people will try to soften that by saying so-and-so is a 'climate policy analyst'."
992,more  she,,says,"That's a way of making the person sound more credible,"" she says."
993,neglect that,active  disinformation,ranges from,"According to Alex Stinson from the Wikimedia Foundation, which runs Wikipedia, climate misinformation ranges from neglect - science that's out of date - to a lack of balance, to active disinformation."
994,it,problem,'s confident,He's confident the organisation has what it takes to deal with the problem.
995,rapidly  he,97  it,says,"""All of the studies on vandalism and misinformation suggest that our natural immune system on the big language Wikipedias catches something like 97% of it rapidly,"" he says."
996,human  organisation,also computer vandalism,uses,"As well as human editors, the organisation also uses computer bots to fight vandalism."
997,additional  some,certain editing experience,edited by,"High-profile articles, including some about climate, also benefit from additional layers of protection - some of them can only be edited by users with a certain amount of editing experience."
998,always  that,always  website,be,But there will always be areas of the website that are harder to patrol.
999,"6,300,000 English Alex","6,300,000 English Wikipedia",says,"""There are over 6,300,000 articles on English Wikipedia,"" Alex says."
1000,all,universal  community,are under,"""Not all of those are under the same kind of universal scrutiny of the community."
1001,bad  information,recent BBC investigation,are,"""And bad information, even outright conspiracies theories, are more common on climate pages in languages other than English, according to a recent BBC investigation."
1002,it,entirely  fort,is,"For now, it is entirely down to volunteers to hold the fort."
1003,Su Laine,,says,"""Wikipedia is uneven,"" says Su-Laine."
1004,You,still  salt,have,"""You have to still take it with a grain of salt."""
